"","Date","Ticker","Price"
"815",20100329,"MSFT",29.59
"816",20100330,"MSFT",29.77
"817",20100331,"MSFT",29.2875
"818",20100401,"MSFT",29.16
"819",20100405,"MSFT",29.27
"820",20100406,"MSFT",29.32
"821",20100407,"MSFT",29.35
"822",20100408,"MSFT",29.92
"823",20100409,"MSFT",30.34
"824",20100412,"MSFT",30.32
"825",20100413,"MSFT",30.45
"826",20100414,"MSFT",30.82
"827",20100415,"MSFT",30.87
"828",20100416,"MSFT",30.67
"829",20100419,"MSFT",31.039
"830",20100420,"MSFT",31.36
"831",20100421,"MSFT",31.332
"832",20100422,"MSFT",31.39
"833",20100423,"MSFT",30.96
"834",20100426,"MSFT",31.11
"835",20100427,"MSFT",30.845
"836",20100428,"MSFT",30.91
"837",20100429,"MSFT",31.003
"838",20100430,"MSFT",30.535
"839",20100503,"MSFT",30.86
"840",20100504,"MSFT",30.13
"841",20100505,"MSFT",29.85
"842",20100506,"MSFT",28.98
"843",20100507,"MSFT",28.21
"844",20100510,"MSFT",28.94
"845",20100511,"MSFT",28.88
"846",20100512,"MSFT",29.44
"847",20100513,"MSFT",29.24
"848",20100514,"MSFT",28.93
"849",20100517,"MSFT",28.94
"850",20100518,"MSFT",28.5975
"851",20100519,"MSFT",28.24
"852",20100520,"MSFT",27.11
"853",20100521,"MSFT",26.84
"854",20100524,"MSFT",26.27
"855",20100525,"MSFT",26.07
"856",20100526,"MSFT",25.01
"857",20100527,"MSFT",26
"858",20100528,"MSFT",25.8
"859",20100601,"MSFT",25.89
"860",20100602,"MSFT",26.46
"861",20100603,"MSFT",26.86
"862",20100604,"MSFT",25.79
"863",20100607,"MSFT",25.29
"864",20100608,"MSFT",25.11
"865",20100609,"MSFT",24.79
"866",20100610,"MSFT",25
"867",20100611,"MSFT",25.66
"868",20100614,"MSFT",25.495
"869",20100615,"MSFT",26.5825
"870",20100616,"MSFT",26.32
"871",20100617,"MSFT",26.37
"872",20100618,"MSFT",26.44
"873",20100621,"MSFT",25.95
"874",20100622,"MSFT",25.77
"875",20100623,"MSFT",25.308
"876",20100624,"MSFT",25
"877",20100625,"MSFT",24.5325
"878",20100628,"MSFT",24.31
"879",20100629,"MSFT",23.31
"880",20100630,"MSFT",23.01
"881",20100701,"MSFT",23.16
"882",20100702,"MSFT",23.27
"883",20100706,"MSFT",23.82
"884",20100707,"MSFT",24.3
"885",20100708,"MSFT",24.4095
"886",20100709,"MSFT",24.27
"887",20100712,"MSFT",24.83
"888",20100713,"MSFT",25.13
"889",20100714,"MSFT",25.44
"890",20100715,"MSFT",25.51
"891",20100716,"MSFT",24.89
"892",20100719,"MSFT",25.23
"893",20100720,"MSFT",25.48
"894",20100721,"MSFT",25.12
"895",20100722,"MSFT",25.84
"896",20100723,"MSFT",25.81
"897",20100726,"MSFT",26.1
"898",20100727,"MSFT",26.16
"899",20100728,"MSFT",25.95
"900",20100729,"MSFT",26.03
"901",20100730,"MSFT",25.81
"902",20100802,"MSFT",26.33
"903",20100803,"MSFT",26.16
"904",20100804,"MSFT",25.73
"905",20100805,"MSFT",25.37
"906",20100806,"MSFT",25.55
"907",20100809,"MSFT",25.61
"908",20100810,"MSFT",25.07
"909",20100811,"MSFT",24.86
"910",20100812,"MSFT",24.49
"911",20100813,"MSFT",24.4
"912",20100816,"MSFT",24.5
"913",20100817,"MSFT",24.71
"914",20100818,"MSFT",24.82
"915",20100819,"MSFT",24.44
"916",20100820,"MSFT",24.23
"917",20100823,"MSFT",24.28
"918",20100824,"MSFT",24.04
"919",20100825,"MSFT",24.1
"920",20100826,"MSFT",23.82
"921",20100827,"MSFT",23.93
"922",20100830,"MSFT",23.64
"923",20100831,"MSFT",23.465
"924",20100901,"MSFT",23.9
"925",20100902,"MSFT",23.94
"926",20100903,"MSFT",24.29
"927",20100907,"MSFT",23.96
"928",20100908,"MSFT",23.93
"929",20100909,"MSFT",24.01
"930",20100910,"MSFT",23.85
"931",20100913,"MSFT",25.11
"932",20100914,"MSFT",25.03
"933",20100915,"MSFT",25.115
"934",20100916,"MSFT",25.33
"935",20100917,"MSFT",25.22
"936",20100920,"MSFT",25.43
"937",20100921,"MSFT",25.15
"938",20100922,"MSFT",24.61
"939",20100923,"MSFT",24.43
"940",20100924,"MSFT",24.775
"941",20100927,"MSFT",24.7325
"942",20100928,"MSFT",24.6775
"943",20100929,"MSFT",24.5
"944",20100930,"MSFT",24.49
"945",20101001,"MSFT",24.38
"946",20101004,"MSFT",23.91
"947",20101005,"MSFT",24.35
"948",20101006,"MSFT",24.43
"949",20101007,"MSFT",24.53
"950",20101008,"MSFT",24.57
"951",20101011,"MSFT",24.59
"952",20101012,"MSFT",24.83
"953",20101013,"MSFT",25.34
"954",20101014,"MSFT",25.23
"955",20101015,"MSFT",25.54
"956",20101018,"MSFT",25.82
"957",20101019,"MSFT",25.1
"958",20101020,"MSFT",25.31
"959",20101021,"MSFT",25.42
"960",20101022,"MSFT",25.3775
"961",20101025,"MSFT",25.19
"962",20101026,"MSFT",25.9
"963",20101027,"MSFT",26.05
"964",20101028,"MSFT",26.28
"965",20101029,"MSFT",26.665
"966",20101101,"MSFT",26.95
"967",20101102,"MSFT",27.39
"968",20101103,"MSFT",27.03
"969",20101104,"MSFT",27.14
"970",20101105,"MSFT",26.85
"971",20101108,"MSFT",26.81
"972",20101109,"MSFT",26.95
"973",20101110,"MSFT",26.94
"974",20101111,"MSFT",26.68
"975",20101112,"MSFT",26.27
"976",20101115,"MSFT",26.2
"977",20101116,"MSFT",25.81
"978",20101117,"MSFT",25.57
"979",20101118,"MSFT",25.8375
"980",20101119,"MSFT",25.69
"981",20101122,"MSFT",25.73
"982",20101123,"MSFT",25.12
"983",20101124,"MSFT",25.37
"984",20101126,"MSFT",25.34
"985",20101129,"MSFT",25.31
"986",20101130,"MSFT",25.2575
"987",20101201,"MSFT",26.04
"988",20101202,"MSFT",26.89
"989",20101203,"MSFT",27.02
"990",20101206,"MSFT",26.84
"991",20101207,"MSFT",26.87
"992",20101208,"MSFT",27.23
"993",20101209,"MSFT",27.08
"994",20101210,"MSFT",27.34
"995",20101213,"MSFT",27.245
"996",20101214,"MSFT",27.62
"997",20101215,"MSFT",27.85
"998",20101216,"MSFT",27.9875
"999",20101217,"MSFT",27.9025
"1000",20101220,"MSFT",27.81
"1001",20101221,"MSFT",28.07
"1002",20101222,"MSFT",28.1875
"1003",20101223,"MSFT",28.3
"1004",20101227,"MSFT",28.07
"1005",20101228,"MSFT",28.01
"1006",20101229,"MSFT",27.97
"1007",20101230,"MSFT",27.85
"1008",20101231,"MSFT",27.91
"1009",20110103,"MSFT",27.98
"1010",20110104,"MSFT",28.0875
"1011",20110105,"MSFT",28
"1012",20110106,"MSFT",28.82
"1013",20110107,"MSFT",28.6
"1014",20110110,"MSFT",28.22
"1015",20110111,"MSFT",28.11
"1016",20110112,"MSFT",28.55
"1017",20110113,"MSFT",28.19
"1018",20110114,"MSFT",28.3
"1019",20110118,"MSFT",28.66
"1020",20110119,"MSFT",28.47
"1021",20110120,"MSFT",28.3525
"1022",20110121,"MSFT",28.02
"1023",20110124,"MSFT",28.38
"1024",20110125,"MSFT",28.45
"1025",20110126,"MSFT",28.78
"1026",20110127,"MSFT",28.87
"1027",20110128,"MSFT",27.751
"1028",20110131,"MSFT",27.725
"1029",20110201,"MSFT",27.9925
"1030",20110202,"MSFT",27.94
"1031",20110203,"MSFT",27.65
"1032",20110204,"MSFT",27.77
"1033",20110207,"MSFT",28.1975
"1034",20110208,"MSFT",28.2825
"1035",20110209,"MSFT",27.97
"1036",20110210,"MSFT",27.5
"1037",20110211,"MSFT",27.25
"1038",20110214,"MSFT",27.23
"1039",20110215,"MSFT",26.96
"1040",20110216,"MSFT",27.02
"1041",20110217,"MSFT",27.21
"1042",20110218,"MSFT",27.06
"1043",20110222,"MSFT",26.59
"1044",20110223,"MSFT",26.59
"1045",20110224,"MSFT",26.77
"1046",20110225,"MSFT",26.55
"1047",20110228,"MSFT",26.58
"1048",20110301,"MSFT",26.16
"1049",20110302,"MSFT",26.0775
