PERMNO,date,Ticker,Price,Shares_outstanding,Stock_return,SP_Return,marketcap,beta
66157,2015-06-30,USB,43.4,1773035,0.006727,-0.021012,76949719.0,0.7895267643903419
66157,2015-07-31,USB,45.21,1767000,0.041705,0.019742,79886070.0,0.7895267643903419
66157,2015-08-31,USB,42.35,1761004,-0.06326,-0.062581,74578519.4,0.7895267643903419
66157,2015-09-30,USB,41.01,1761004,-0.031641,-0.026443,72218774.03999999,0.7895267643903419
66157,2015-10-30,USB,42.18,1754000,0.02853,0.082983,73983720.0,0.7895267643903419
66157,2015-11-30,USB,43.89,1749177,0.040541,5.05e-4,76771378.53,0.7895267643903419
66157,2015-12-31,USB,42.67,1749177,-0.027797,-0.01753,74637382.59,0.7895267643903419
91787,2010-01-29,USD,26.58,2625,-0.205144,-0.036974,69772.5,0.7895267643903419
91787,2010-02-26,USD,30.51,2625,0.147856,0.028514,80088.75,0.7895267643903419
91787,2010-03-31,USD,34.7,2625,0.137332,0.058796,91087.50000000001,0.7895267643903419
91787,2010-04-30,USD,36.37,2625,0.048127,0.014759,95471.25,0.7895267643903419
91787,2010-05-28,USD,31.89,2400,-0.123178,-0.081976,76536.0,0.7895267643903419
91787,2010-06-30,USD,26.77,2325,-0.160552,-0.053882,62240.25,0.7895267643903419
91787,2010-07-30,USD,29.254,2325,0.09279,0.068778,68015.55,0.7895267643903419
91787,2010-08-31,USD,22.92,2775,-0.216517,-0.047449,63603.00000000001,0.7895267643903419
91787,2010-09-30,USD,29.1,2700,0.269634,0.087551,78570.0,0.7895267643903419
91787,2010-10-29,USD,33.0,2175,0.134021,0.036856,71775.0,0.7895267643903419
91787,2010-11-30,USD,36.88,1800,0.117576,-0.00229,66384.0,0.7895267643903419
91787,2010-12-31,USD,39.82,1875,0.079718,0.0653,74662.5,0.7895267643903419
91787,2011-01-31,USD,43.84,1650,0.100954,0.022646,72336.0,0.7895267643903419
91787,2011-02-28,USD,46.5,1575,0.060675,0.031957,73237.5,0.7895267643903419
91787,2011-03-31,USD,42.18,1575,-0.092903,-0.001047,66433.5,0.7895267643903419
91787,2011-04-29,USD,46.87,1425,0.11119,0.028495,66789.75,0.7895267643903419
91787,2011-05-31,USD,45.16,1200,-0.036484,-0.013501,54191.99999999999,0.7895267643903419
91787,2011-06-30,USD,39.86,1275,-0.11736,-0.018258,50821.5,0.7895267643903419
91787,2011-07-29,USD,36.7,1275,-0.079277,-0.021474,46792.5,0.7895267643903419
91787,2011-08-31,USD,29.94,1650,-0.184196,-0.056791,49401.0,0.7895267643903419
91787,2011-09-30,USD,28.85,1350,-0.036406,-0.071762,38947.5,0.7895267643903419
91787,2011-10-31,USD,37.88,1275,0.312998,0.107723,48297.0,0.7895267643903419
91787,2011-11-30,USD,35.67,1275,-0.058342,-0.005059,45479.25,0.7895267643903419
